id_agent,id_count,agent_display,date_display,title_display,full size,medium web,screen presentation
NaN,NaN,achen-h-von,1999,portrait-of-!emperor-rudolph-ii,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=p6FMkIBafCQ=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=bIR17FMjzM4=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=IlPNUIo8sUE=
NaN,NaN,abate-n-dell,1552-55,man-with-a-parrot,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=DSFcmCPpK40=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=hJg3EIpFv4g=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=bnpn9casL64=
NaN,NaN,abate-n-dell,1552-71,the-death-of-eurydice,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=n8SKfqbpqBI=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=HL-WyZsHHmw=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=ZXIU-Pwn0Mk=
NaN,NaN,abbey-e-a,1896,richard-duke-of-gloucester-and-the-lady-anne,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=Zu-w831ZZBg=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=BKGy88tEwPs=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=4cfSLrWVPv0=
NaN,NaN,abbey-e-a,1900,the-penance-of-eleanor-duchess-of-gloucester,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=wrbp7Fu5C0k=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=8qMrHcZc7AY=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=7NWd5IVvetE=
NaN,NaN,abbey-e-a,1902,goneril-and-regan,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=zvKPhDD9qUA=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=wJF1QxN9h_g=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=4z6pTKSYPpw=
NaN,NaN,abdul-hadi-el-gazzar,1958,the-light-from-within-the-green,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=kn0RfpPDGjE=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=CkLDtgq70_o=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=Tnj9vaOidIU=
NaN,NaN,abdul-qader-al-rais,1970,untitled,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=CdxRH_7PZjQ=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=lDDMaJQ_z-E=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=h8x309QWKCU=
NaN,NaN,abildgard-n-a,1800,minotaur,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=cTE8NDdJUUk=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=PdzN9nn3H8k=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=JHVQdYirzTU=
NaN,NaN,abrahams-i,exhibited ra 2003,gymnast,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=6NnebpcRFIE=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=V31iYUIMR9o=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=Hjj5-mGnj10=
NaN,NaN,ackermann-f,1997,untitled-mental-map-evasion-iii,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=Tzve0-nGOR0=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=xTvAeNdPKcM=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=O3dgWSoZLjc=
NaN,NaN,adam-h-b,1830-40,lhopital-saint-louis-and-les-buttes-chaumont-paris,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=qGofZeFzqmE=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=l7I_ECsh8n4=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=AVM9UmddbxE=
NaN,NaN,adam-r,-,rocky-landscape-with-castle-and-waterfall,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=WFJppCguqrc=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=H6cBgVLsPOw=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=Q4gNbmCbKXM=
NaN,NaN,adam-r,-,landscape-with-castle-and-city-beside-a-river,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=Pprs3cJyA3M=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=Xoy0ZaU8rfg=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=_oZnWkftFqs=
NaN,NaN,adam-r,1757,one-of-three-drawings-of-capricci,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=RwTbarSnG3A=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=IRQyJ5Vm81I=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=oCUHPj8dw7M=
NaN,NaN,adler-j,1944,woman-with-cat,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=BVwxWBoCiNE=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=9glMgTi1wis=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=5YLM-nldIss=
NaN,NaN,adler-j,1893,the-street,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=Y-d4N9IXAWU=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=Bx9flnZQV-s=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=RfnFaolhhcE=
NaN,NaN,aelst-w-van,1656,vanitas-flower-still-life,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=EHvn3JMbCsQ=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=WYN8p0zJsDs=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=pzZdvq46phU=
NaN,NaN,aelst-w-van,1650,still-life-with-basket-of-fruit-on-a-marble-ledge,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=eRgRFMg7kZ8=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=26NQQ7fC4Xw=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=X1h4cgC3QgU=
NaN,NaN,aelst-w-van,1647,still-life-with-mouse-and-candle,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=cWchLfHNHOc=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=bSvC-K9KDBc=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=zwwCjmwpbLs=
NaN,NaN,aertsen-p,16th century,the-four-evangelists,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=cRO0nnWrbRk=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=E5z4w6pdbcs=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=JiDbT9hnhK4=
NaN,NaN,aertsen-p,1551,butchers-shop-with-the-flight-into-egypt,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=R1hU98rYAUs=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=PbFCtPFih9U=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=kSIqcsi5y3A=
NaN,NaN,aertsen-p,1556,peasant-interior,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=MKM4sVzsGw8=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=gDuHpeniyMo=,https://imagedatabase.st-andrews.ac.uk/images/viewimage.php?id=FhKBUdp4mU8=
